Model,F_EUV,F_FUV,F_NUV,F_J
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=5.cmin=3.7.gz.fits       19,423.424       65,2.17355       39,13.2491       70,1862.08
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=5.cmin=4.7.gz.fits       19,513.840       72,9.91946       32,39.3177       69,881.56
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=3.5.7.gz.fits     ,407.76129,43.109958,622.37182,732113.91
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=3.7.gz.fits       ,407.89503,48.884904,834.84223,733300.37
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=4.5.7.gz.fits     ,407.55172,33.453570,400.77339,725546.53
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=4.7.gz.fits       ,407.86450,45.763848,529.31658,727467.62
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=5.5.7.gz.fits     ,405.06309,12.130468,206.57796,726701.21
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=5.7.gz.fits       ,407.12280,23.340065,312.77185,725459.52
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=3.5.7.gz.fits       ,1248.5465,85.821208,926.78171,728719.69
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=3.7.gz.fits       12,46.3720       10,0.83089       12,84.8667       73,1996.90
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=4.5.7.gz.fits       ,1249.1702,75.157575,613.67133,720661.59
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=4.7.gz.fits       12,47.8822       94,.159964       79,1.36827       72,3134.42
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=5.7.gz.fits       12,47.8151       51,.982978       44,0.67581       72,418.33
