target,st_spectype,st_teff,ra,dec,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
GJ 160.2,M0 V,4347,61.6454173,-20.8564724,2,GALEX,3.05534E+18,GI1_047024_NGC1518,61.7162415,-21.17659989,53676.81208,1735.05,UV,NUV,,55310.08981,GALEX,GII,0
GJ 160.2,M0 V,4347,61.6454173,-20.8564724,2,GALEX,3.05534E+18,GI1_047024_NGC1518,61.7162415,-21.17659989,53676.813,1655.05,UV,FUV,,55310.08981,GALEX,GII,0
Kepler-1197,,4552,291.6693437,42.5907441,2,GALEX,3.154E+18,GI4_056008_KEPLER_16,292.3874748,42.37631601,54606.18534,6904.55,UV,NUV,,55310.17919,GALEX,GII,0
Kepler-1197,,4552,291.6693437,42.5907441,2,GALEX,3.154E+18,GI4_056008_KEPLER_16,292.3874748,42.37631601,54606.18534,6904.55,UV,FUV,,55310.17919,GALEX,GII,0
Kepler-1029,,4911,292.1328738,41.5474786,2,GALEX,3.1902E+18,GI5_055006_KEPLER_16B,292.5869358,41.09087597,54966.95753,8946.55,UV,NUV,,55986.22966,GALEX,GII,0
Kepler-1029,,4911,292.1328738,41.5474786,2,GALEX,3.1902E+18,GI5_055006_KEPLER_16B,292.5869358,41.09087597,54966.95753,1464.1,UV,FUV,,55986.22966,GALEX,GII,0
Kepler-174,,4724,287.4389454,43.8320052,2,GALEX,6.37123E+18,AIS_9_1_77,288.0112501,43.72006301,53933.4085,144,UV,FUV,,55355.91297,GALEX,AIS,0
Kepler-1834,,4821,294.6646789,39.7838461,2,GALEX,6.37141E+18,AIS_14_1_37,295.1274817,39.56879546,55732.00193,298,UV,NUV,,56189.18851,GALEX,AIS,0
GJ 160.2,M0 V,4347,61.6454173,-20.8564724,2,GALEX,6.37746E+18,AIS_186_1_69,61.63317759,-21.03969379,52974.98412,110,UV,NUV,,55468.80255,GALEX,AIS,0
GJ 160.2,M0 V,4347,61.6454173,-20.8564724,2,GALEX,6.37746E+18,AIS_186_1_69,61.63317759,-21.03969379,52974.98412,110,UV,FUV,,55468.80255,GALEX,AIS,0
Kepler-1782,,4867,280.926162,44.0878036,2,GALEX,3.7306E+18,MISKEP_10799_0014,281.4512013,44.16906513,55771.82645,1296.95,UV,NUV,,55992.22959,GALEX,MIS,0
Kepler-1754,,4723,295.4570818,50.0771838,2,GALEX,3.72768E+18,MISKEP_08125_0010,295.5661659,50.64483773,55725.41495,1477.75,UV,NUV,,55992.20115,GALEX,MIS,0
TOI-1807,,4757,201.2826259,38.9223671,2,GALEX,3.86782E+18,MISGCSN3_01664_0109,202.0579525,39.03045354,55637.85027,1677.05,UV,NUV,,55992.83179,GALEX,MIS,0
K2-405,,4927,164.3759959,12.535614,2,GALEX,3.12642E+18,GI3_084018_J105605p121029,164.0171242,12.16918408,54180.40876,1691,UV,NUV,,55310.05266,GALEX,GII,0
Kepler-660,,4856,288.1382985,47.7245642,2,GALEX,3.72969E+18,MISKEP_09474_0010,288.0067397,48.21764059,55778.87959,1533.05,UV,NUV,,55992.21777,GALEX,MIS,0
Kepler-660,,4856,288.1382985,47.7245642,2,GALEX,6.37123E+18,AIS_9_1_81,287.9856803,47.2964786,53984.63422,204,UV,NUV,,55355.91973,GALEX,AIS,0
BD-08 2823,,4816,150.1971964,-9.5165689,2,GALEX,6.3821E+18,AIS_318_1_12,150.6108849,-9.850857642,53797.62912,112,UV,NUV,,55419.97529,GALEX,AIS,0
BD-08 2823,,4816,150.1971964,-9.5165689,2,GALEX,6.3821E+18,AIS_318_1_12,150.6108849,-9.850857642,53797.62912,112,UV,FUV,,55419.97529,GALEX,AIS,0
Kepler-398,,4577,291.4688524,40.3437001,2,GALEX,3.72923E+18,MISKEP_08677_0015,291.6158419,39.88048818,55777.44227,641.15,UV,NUV,,55993.34031,GALEX,MIS,0
Kepler-693,,4822,283.253527,40.3582155,2,GALEX,3.73078E+18,MISKEP_11008_0014,283.1518065,40.13558226,55764.63527,279.2,UV,NUV,,55992.23275,GALEX,MIS,0
HD 98219,,4925,169.4475218,-23.975488,2,GALEX,6.38235E+18,AIS_325_1_62,169.6128348,-23.66789494,53446.57688,332,UV,NUV,,55383.68347,GALEX,AIS,0
HD 98219,,4925,169.4475218,-23.975488,2,GALEX,6.38235E+18,AIS_325_1_62,169.6128348,-23.66789494,53777.21263,112,UV,FUV,,55383.68347,GALEX,AIS,0
HD 103949,K3 V,4792,179.5479558,-23.9241221,2,GALEX,6.38239E+18,AIS_326_1_48,179.3637099,-24.27992981,53471.30491,192,UV,NUV,,55384.9535,GALEX,AIS,0
HD 103949,K3 V,4792,179.5479558,-23.9241221,2,GALEX,6.38239E+18,AIS_326_1_48,179.3637099,-24.27992981,53776.32088,112,UV,FUV,,55384.9535,GALEX,AIS,0
HD 22496,,4385,53.7565398,-48.4178173,2,GALEX,6.38583E+18,AIS_424_1_72,54.08752252,-47.85748733,53673.3194,207,UV,NUV,,55426.08983,GALEX,AIS,0
HD 22496,,4385,53.7565398,-48.4178173,2,GALEX,6.38583E+18,AIS_424_1_72,54.08752252,-47.85748733,53673.3194,207,UV,FUV,,55426.08983,GALEX,AIS,0
K2-163,,4937,182.3292517,-0.5393421,2,GALEX,3.19678E+18,GI5_048022_GAMA12_13366,182.5607535,-0.34395217,54943.46854,1694.15,UV,NUV,,55290.79441,GALEX,GII,0
HD 238914,,4769,279.5842102,59.2538819,2,GALEX,6.37109E+18,AIS_5_1_67,280.3189164,59.43955708,53986.35927,169,UV,NUV,,55354.80509,GALEX,AIS,0
K2-276,,4843,125.9528309,22.6339399,2,GALEX,3.71846E+18,MISGCSAN_15773_1926,125.6732797,22.1816363,54518.53603,1616,UV,NUV,,55275.02895,GALEX,MIS,0
Kepler-1754,,4723,295.4570818,50.0771838,2,GALEX,6.37123E+18,AIS_9_1_23,295.4168841,49.72688729,53935.67053,234,UV,NUV,,55355.91269,GALEX,AIS,0
Kepler-1754,,4723,295.4570818,50.0771838,2,GALEX,6.37123E+18,AIS_9_1_23,295.4168841,49.72688729,53935.67053,234,UV,FUV,,55355.91269,GALEX,AIS,0
Kepler-960,,4508.31,281.4572217,46.7465538,2,GALEX,2.56677E+18,KEPLER_10652_0009,280.9088794,46.91956591,55733.14966,115.1,UV,NUV,,55957.03627,GALEX,DIS,0
omi CrB,,4749,230.0350768,29.6160222,2,GALEX,3.15122E+18,GI4_008024_KISSR0675,229.5952343,29.40842896,54611.52606,2390.1,UV,NUV,,55310.15145,GALEX,GII,0
omi CrB,,4749,230.0350768,29.6160222,2,GALEX,3.15122E+18,GI4_008024_KISSR0675,229.5952343,29.40842896,54611.52606,2390.1,UV,FUV,,55310.15145,GALEX,GII,0
Kepler-1026,,4850,283.6053012,39.9979286,2,GALEX,3.73078E+18,MISKEP_11008_0014,283.1518065,40.13558226,55764.63527,279.2,UV,NUV,,55992.23275,GALEX,MIS,0
KMT-2021-BLG-1689L,,4570,269.5791667,-30.1452778,2,GALEX,3.73623E+18,MISGCEN_45201_0488,268.956201,-30.28552926,55743.75844,1548.6,UV,NUV,,55992.12595,GALEX,MIS,0
Kepler-1953,,4858,287.9680995,46.4705959,2,GALEX,6.37123E+18,AIS_9_1_80,287.9931878,46.41325547,53984.63259,211,UV,NUV,,55355.91976,GALEX,AIS,0
Kepler-1953,,4858,287.9680995,46.4705959,2,GALEX,6.37123E+18,AIS_9_1_80,287.9931878,46.41325547,53984.63259,211,UV,FUV,,55355.91976,GALEX,AIS,0
WASP-11,,4800,47.3689472,30.6733817,2,GALEX,6.3732E+18,AIS_65_1_55,47.77324258,31.15199223,54083.53089,208.05,UV,NUV,,55360.70091,GALEX,AIS,0
WASP-11,,4800,47.3689472,30.6733817,2,GALEX,6.3732E+18,AIS_65_1_55,47.77324258,31.15199223,54083.53089,208.05,UV,FUV,,55360.70091,GALEX,AIS,0
gam Lib,K0 III,4822,233.8818636,-14.789502,2,GALEX,6.38302E+18,AIS_344_1_60,234.3673857,-14.89897769,54259.9922,106,UV,NUV,,55421.82701,GALEX,AIS,0
gam Lib,K0 III,4822,233.8818636,-14.789502,2,GALEX,6.38302E+18,AIS_344_1_60,234.3673857,-14.89897769,54259.9922,106,UV,FUV,,55421.82701,GALEX,AIS,0
BD+14 4559,,4864,318.4010002,14.6893834,2,GALEX,2.50615E+18,DNE_EF_PEG_grism,318.5252839,14.2787333,53188.42525,1579,UV,NUV,,56086.03266,GALEX,ETS,0
BD+14 4559,,4864,318.4010002,14.6893834,2,GALEX,2.50615E+18,DNE_EF_PEG_grism,318.5252839,14.2787333,53188.42525,1579,UV,FUV,,56086.03696,GALEX,ETS,0
EPIC 248847494,,4898,159.3890808,11.8427484,2,GALEX,3.23232E+18,GI6_013012_AOHI1037135p115330,159.3187544,11.89349492,55269.58391,2022.05,UV,NUV,,55986.28166,GALEX,GII,0
Kepler-1053,,4529,291.4186349,39.1273664,2,GALEX,3.72937E+18,MISKEP_08733_0015,291.5603981,38.94579835,55776.07289,1149,UV,NUV,,55992.21536,GALEX,MIS,0
Kepler-441,,4339,284.566954,49.0127077,2,GALEX,3.7299E+18,MISKEP_10511_0010,285.0492193,48.83761844,55727.3319,2013.3,UV,NUV,,55992.2238,GALEX,MIS,0
Kepler-486,,4939,284.8799791,49.2670195,2,GALEX,3.7299E+18,MISKEP_10511_0010,285.0492193,48.83761844,55727.3319,2013.3,UV,NUV,,55992.2238,GALEX,MIS,0
HAT-P-12,,4665,209.3886452,43.49331,2,GALEX,6.37475E+18,AIS_109_1_18,209.5742156,43.20412092,53161.64087,96,UV,NUV,,55349.7516,GALEX,AIS,0
HAT-P-12,,4665,209.3886452,43.49331,2,GALEX,6.37475E+18,AIS_109_1_18,209.5742156,43.20412092,53161.64087,96,UV,FUV,,55349.7516,GALEX,AIS,0
HD 208897,K0,4860,329.7490639,19.0201591,2,GALEX,6.37619E+18,AIS_150_1_52,330.1750363,19.45355709,54000.51804,133.05,UV,NUV,,55426.51611,GALEX,AIS,0
HD 208897,K0,4860,329.7490639,19.0201591,2,GALEX,6.37619E+18,AIS_150_1_52,330.1750363,19.45355709,54000.51804,133.05,UV,FUV,,55426.51611,GALEX,AIS,0
HD 233604,K5,4791,137.4535054,53.5682016,2,GALEX,2.4291E+18,MISDR1_03203_0553,137.5355219,53.07279204,53119.72036,1554.15,UV,NUV,,55274.893,GALEX,MIS,0
Kepler-660,,4856,288.1382985,47.7245642,2,GALEX,3.19024E+18,GI5_055007_KEPLER_06B,288.1746967,47.68601623,54963.19168,1309.05,UV,FUV,,55986.23002,GALEX,GII,0
Kepler-94,,4780,281.1947316,47.4972606,2,GALEX,3.73025E+18,MISKEP_10652_0009,281.0364939,46.95684106,55732.4656,867.55,UV,NUV,,55992.22476,GALEX,MIS,0
Kepler-83,,4648,282.2325197,43.6655662,2,GALEX,6.37137E+18,AIS_13_1_19,282.7393817,43.84929396,53985.12183,107,UV,FUV,,55350.38543,GALEX,AIS,0
HD 219415,K0 III,4820,348.7243579,56.7303001,2,GALEX,6.3719E+18,AIS_28_1_53,347.7477665,56.73085985,55831.46572,195,UV,NUV,,56189.02769,GALEX,AIS,0
